technology,construction_time
DAC,2
biomass_boiler,0
biomass_boiler_DH,2
biomass_plant,1
biomass_plant_CCS,2
carbon_storage,6
district_heating_grid,1
electrode_boiler,0
electrode_boiler_DH,0
hard_coal_boiler,0
hard_coal_boiler_DH,0
hard_coal_plant,4
hard_coal_plant_CCS,4
heat_pump,0
heat_pump_DH,0
industrial_gas_consumer,0
lignite_coal_plant,4
lng_terminal,4
natural_gas_boiler,0
natural_gas_boiler_DH,0
natural_gas_turbine,2
natural_gas_turbine_CCS,2
nuclear,9
oil_boiler,0
oil_boiler_DH,2
oil_plant,1
photovoltaics,0
reservoir_hydro,4
run-of-river_hydro,3
waste_boiler_DH,2
waste_plant,2
wind_offshore,1
wind_onshore,1
battery,1
hydrogen_storage,1
natural_gas_storage,0
pumped_hydro,3
carbon_pipeline,0
natural_gas_pipeline,0
power_line,0